,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
141586,84408.0,1.23687151154743,0.173461569926912,0.0918655099797999,0.575646087628249,-0.160457463266285,-0.437177476254828,-0.113057182341263,0.0537336774423731,0.30915679273744,-0.276746599593283,-0.454782653790183,-0.696877705489816,-1.41983964824731,0.0554195992553706,1.55752765292447,0.370279176771871,0.238796888533681,-0.423445826933003,-0.409809084798594,-0.208671606475018,-0.302942743564785,-0.920227066527681,0.134488507047232,-0.37261228092627,0.134074624031884,0.152067522806745,-0.0181393540470535,0.0201684018505193,1.98,0
35312,38060.0,1.41067496650689,-0.92057863479567,0.130568009003364,-1.38690797134484,-1.2750172479458,-1.0685821424015,-0.533475065885705,-0.26208633248658,-2.48529234685068,1.59158576778649,1.55701489451646,0.101783263860644,0.591657356298875,0.0937950920509711,-0.420827700704798,-0.494508138778557,0.448034717755081,-0.169429814310096,0.231311343155456,-0.237451367948391,-0.438262006152783,-1.03818970734454,0.151218935195002,0.47882963054394,0.235559411110173,-0.517124793826013,-0.0031009936467307,0.0163644478697372,52.93,0
131258,79536.0,-1.33389364331201,1.32530905292033,1.69159366561012,-0.0182985705013236,-0.444246595828748,-0.446007573936146,0.471467185460195,0.416722411107666,-0.756810252561141,-0.66091072827807,0.134819102691903,0.70484514611084,0.853768793171689,0.261754327998859,1.03736887549743,-0.0812010830334721,0.14871663659466,-0.978535042753301,-0.376785427525774,0.053016681947593,-0.182822618834166,-0.615566302405222,0.0253978486608325,0.398608857822752,0.0310147045986979,0.080102904727129,0.0326528584529614,0.0582595682801283,45.32,0
142557,84789.0,-1.43086372778891,-0.802528699267131,1.12332029999445,0.389760264731692,-0.281213534404278,-0.055123492429819,1.32623248909333,0.195699815379613,-0.546889550453909,-0.71347376073502,1.27462907751277,0.0236821347785728,-1.52169610821701,0.727242085814848,0.166504662441577,0.348037591565135,-0.5663900830288,0.216016101767291,-1.14037564250718,0.634184289933654,0.325575470468413,0.0140018451191784,0.844946015847872,0.114962884542335,0.156364810543393,-0.619437446641754,-0.120351072821334,0.0355941733717493,354.33,1
100610,67567.0,-4.00779554610657,-2.78899591954233,1.71671696901865,0.302774117264604,0.934092293314502,-1.80518715038222,-1.57053490133442,0.606916936879904,0.82496935440985,-0.874527395738697,-1.19447806722181,0.361368513911672,-0.41358565818823,-0.21887093462502,-0.602716247586197,0.328819420138309,0.148118496956879,-0.482821445731456,-0.0239930621488244,-0.132895033131533,-0.22262525369031,-0.773373904700182,-1.21170049354449,0.576270782290007,-0.060399542184655,0.827289454931038,0.555501396106987,-0.806061298752078,70.0,0
154676,102542.0,-1.45687631770562,3.74030556080113,-7.40451844591174,7.44096403590735,-1.5498779534738,-1.66169686169337,-5.75721301357641,1.61501101078404,-2.19488072574389,-6.80713525144464,6.82579316213884,-10.3997491177692,1.83644883978883,-11.872845098188,-3.6423925983095,-6.0441031440521,-9.75077638654123,-3.11637225405711,0.0653171492484702,0.529557330911833,0.957897451629944,0.145339479676781,-0.0447039008346728,-0.544961671329029,-0.757756535554721,-0.005352369235898,0.318152285707546,-0.323553622642371,2.28,1
15506,26899.0,-21.8854339051741,12.9305051249875,-24.098871851647,6.20331419234722,-16.4660991227874,-4.45984212550286,-16.519835984614,14.5355647151916,-3.89702188761405,-8.6507583293562,5.3754339072439,-7.56721354069937,0.461807829323489,-7.82789139878016,-0.0228148529460228,-6.57804150255676,-13.0024594617382,-4.88446723880536,1.10435473489394,1.6119982189969,1.76223176917351,-1.57905510076487,-0.951042744820554,0.13456529188962,1.50711039768212,-0.222670856855594,1.52765527810284,0.453698638993223,99.99,1
150647,93824.0,-3.63280894927825,5.43726336227612,-9.13652148062595,10.3072263079132,-5.42183029451154,-2.86481514933136,-10.6340876212042,3.01812657999175,-4.89164032107494,-11.2350479111446,8.78878366710272,-18.5536970096458,-0.339533407676443,-15.6231873302985,-0.188978574214972,-12.4279613630565,-20.1590474539227,-6.88889109280947,2.58609321670737,1.35406479520345,2.30988016889674,0.978660126299279,-0.0961301444473713,0.432376722544823,-0.435627929953396,0.65089278643537,1.69360750804844,0.857685371687245,8.54,1
190587,128893.0,1.93598052472742,-0.390834373973102,-1.24085901397478,0.42987539548641,-0.30682038494448,-1.22811501856532,0.217041204765878,-0.298794671994352,0.768495428615672,0.046094412172564,-1.00886598277116,-0.172147416532825,-1.16677930031914,0.485971726149515,-0.0783577411325734,-0.194613578680745,-0.100351960656962,-0.766994820470689,0.225580535088935,-0.163333211019561,-0.226384051957721,-0.687064722547501,0.245253632982751,0.0387740836847698,-0.284224561167785,0.384613237771548,-0.102249733305092,-0.0557952080884956,69.94,0
51472,44959.0,-0.470266408286755,-0.804197891374144,1.37384864459422,-2.39784558450646,-0.494160783070429,-1.1596864450668,0.309048573551731,-0.317920090739571,-2.65573800500365,1.16450599739883,1.20177224296344,-0.783295862894801,-0.541102995312131,-0.0605957250327385,-0.934287948086706,-0.32219214217922,0.107804226806917,0.0492587419066329,-0.330212583887081,-0.110657922977606,-0.378171103762998,-0.940548948672102,0.318734080084009,0.431108573894065,-0.516112752544651,-0.797796159195829,-0.0895056865640682,-0.0801982851783378,79.9,0
